Component Name|Short description|Parameters
oimComponentImage|Generic component|:abbr:`x(x position)`, :abbr:`y(y position)`, :abbr:`f(flux)`, :abbr:`pa(Major-axis Position angle)`, :abbr:`dim(Dimension in pixels)`
oimComponentFitsImage|Fits Image Component|:abbr:`x(x position)`, :abbr:`y(y position)`, :abbr:`f(flux)`, :abbr:`pa(Major-axis Position angle)`, :abbr:`dim(Dimension in pixels)`, :abbr:`scale(Scaling Factor)`
oimFastRotator|Fast Rotator|:abbr:`x(x position)`, :abbr:`y(y position)`, :abbr:`f(flux)`, :abbr:`pa(Major-axis Position angle)`, :abbr:`dim(Dimension in pixels)`, :abbr:`incl(Inclination angle)`, :abbr:`rot(Rotation Rate)`, :abbr:`Tpole(Polar Temperature)`, :abbr:`dpole(Polar diameter)`, :abbr:`beta(Gravity Darkening Exponent)`
oimKinematicDisk|kinematic disk component|:abbr:`x(x position)`, :abbr:`y(y position)`, :abbr:`f(flux)`, :abbr:`pa(Major-axis Position angle)`, :abbr:`dim(Dimension in pixels)`, :abbr:`fov(Field of view in stellar diameters)`, :abbr:`wl0(central wavelength of the line)`, :abbr:`dwl(pixel size in wavelength )`, :abbr:`res(spectral resolution)`, :abbr:`nwl(number of wavelengths)`, :abbr:`Rstar(Stellar Radius)`, :abbr:`dist(distance in parsec)`, :abbr:`fwhmCont(FWHM of the disk in the continuum in DStar)`, :abbr:`fwhmLine(FWHM of the disk in the line in DStar)`, :abbr:`fluxDiskCont(Flux of the disk in the continuum)`, :abbr:`incl(inclination angle)`, :abbr:`EW(Equivalent width of the line)`, :abbr:`vrot(rotational velocity at the photosphere)`, :abbr:`beta(exponent of the rotational law)`, :abbr:`v0(expension velocity at the photosphere)`, :abbr:`vinf(expension velocity at the infinity )`, :abbr:`gamma(exponent of the expansion velocity law)`
oimSpiral|Spiral component|:abbr:`x(x position)`, :abbr:`y(y position)`, :abbr:`f(flux)`, :abbr:`pa(Major-axis Position angle)`, :abbr:`dim(Dimension in pixels)`, :abbr:`elong(Elongation Ratio)`, :abbr:`fwhm(FWHM)`, :abbr:`P(Period in mas)`, :abbr:`width(Width as filling factor)`
