Feature|Reference paper(s) to cite|Additional acknowledgement 
:func:`oimDisco <oimodeler.oimDisco>`|`Vieira et al. 2015 <https://ui.adsabs.harvard.edu/abs/2015MNRAS.454.2107V/abstract>`_, `Vieira et al. 2016 <https://ui.adsabs.harvard.edu/abs/2016ASPC..506..135V/abstract>`_|None
:func:`oimKinematicDisk <oimodeler.oimKinematicDisk>`|`Meilland et al. 2012 <https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.110M/abstract>`_|None
