mjd x y err_x err_y source
54906.78179805675 10.483133068848113 146.9665932144473 0.556 0.556 1.0
54907.80447621342 10.50450401705173 146.90491412936376 0.538 0.538 1.0
54908.79063015005 10.534998121262607 146.61198421201794 0.574 0.574 1.0
55018.80158042292 13.276269740741077 136.8776499716849 0.289 0.289 1.0
55019.787734359634 13.344054416053616 136.830868636216 0.313 0.313 1.0
55020.810412516206 13.407890426907137 136.74424475750362 0.333 0.333 1.0
55021.79656645292 13.46869626635336 136.62773627958828 0.326 0.326 1.0
55024.791552482915 13.481929544993843 136.27472684156743 0.31 0.31 1.0
55025.77770641963 13.533486493022824 136.06863100414867 0.31 0.31 1.0
55026.800384576214 13.54239400936312 136.1581891202111 0.295 0.295 1.0
55038.780328696215 13.734877592092067 134.9830194414477 0.315 0.315 1.0
55300.768557881835 19.190580928795764 102.34636536592464 0.4 0.4 1.0
55310.776194128484 19.318245808015554 100.88708430171371 0.374 0.374 1.0
55311.79887228507 19.30635840112711 100.63481219382898 0.373 0.373 1.0
55312.78502622178 19.299959814592153 100.41202144741001 0.326 0.326 1.0
55320.783830375076 19.383221381847445 99.07165704106444 0.366 0.366 1.0
55322.79266246836 19.540907177725092 99.69293378505586 0.745 0.745 1.0
55323.77881640507 19.49043143272163 98.79581510654374 0.401 0.401 1.0
55324.801494561645 19.62280359208567 98.8307805250289 0.343 0.343 1.0
55330.79146662165 19.739320442404015 97.80801413213588 0.469 0.469 1.0
55331.777620558365 19.6283528615847 97.69774953365672 0.529 0.529 1.0
55334.77260658836 19.689561546283766 97.12430780250175 0.563 0.563 1.0
55335.795284744934 19.716455376844085 97.16987129441367 0.503 0.503 1.0
55340.79910286823 19.778740537335047 96.26920495546216 0.534 0.534 1.0
55341.78525680494 19.808311807598646 96.24270561103813 0.549 0.549 1.0
55342.771410741654 19.808175747956824 95.98747977490636 0.534 0.534 1.0
55343.79408889823 19.85032730185552 95.93792475350511 0.543 0.543 1.0
55344.78024283494 19.847743993432786 95.67293848508653 0.508 0.508 1.0
55345.80292099151 19.87503481302226 95.6366320568701 0.557 0.557 1.0
55346.78907492822 19.87173081151876 95.45346674979666 0.523 0.523 1.0
55348.79790702152 19.918631451822648 95.09633915712244 0.528 0.528 1.0
55371.771641324885 20.23428182109898 91.12041175929981 1.264 1.264 1.0
55372.79431948147 20.214256419515245 90.58189630056377 0.886 0.886 1.0
55373.780473418185 20.293277778341324 90.86139376551009 0.784 0.784 1.0
55374.80315157476 20.392796359091907 90.85960739875893 0.894 0.894 1.0
55379.77044547818 20.35979915125234 89.83167970443759 0.932 0.932 1.0
55381.77927757146 20.41155765298357 89.69686958962909 0.794 0.794 1.0
55383.78810966476 20.42856736917932 90.06217927211678 0.853 0.853 1.0
55421.773298338 20.924046118137095 83.79714311386799 0.731 0.731 1.0
54349.02043629828 3.9 168.9 0.3 0.3 2.0
54599.72268154158 7.8 163.5 0.4 1.0 2.0
54611.19128658333 6.5 163.0 0.4 0.5 2.0
54932.34875197148 11.5 156.8 1.0 1.0 2.0
54985.41844345433 12.7 146.8 0.5 3.0 2.0
55042.104032705116 12.8 135.3 1.5 2.5 2.0
55301.31642118003 27.7 101.6 0.1 0.1 2.0
55331.59499945893 22.6 96.3 0.1 0.1 2.0
